"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Infant Birth Weight 12"	"Infant Birth Weight 12 Code"	Births
	"Alaska"	"02"	"2019"	"2019"	"October"	"10"	"3000 - 3499 grams"	"07"	303
	"Alaska"	"02"	"2019"	"2019"	"October"	"10"	"3500 - 3999 grams"	"08"	237
	"Alaska"	"02"	"2019"	"2019"	"October"	"10"	"4000 - 4499 grams"	"09"	76
	"Alaska"	"02"	"2019"	"2019"	"October"	"10"	"4500 - 4999 grams"	"10"	12
	"Alaska"	"02"	"2019"	"2019"	"November"	"11"	"1000 - 1499 grams"	"03"	12
	"Alaska"	"02"	"2019"	"2019"	"November"	"11"	"2000 - 2499 grams"	"05"	34
	"Alaska"	"02"	"2019"	"2019"	"November"	"11"	"2500 - 2999 grams"	"06"	105
	"Alaska"	"02"	"2019"	"2019"	"November"	"11"	"3000 - 3499 grams"	"07"	258
	"Alaska"	"02"	"2019"	"2019"	"November"	"11"	"3500 - 3999 grams"	"08"	213
	"Alaska"	"02"	"2019"	"2019"	"November"	"11"	"4000 - 4499 grams"	"09"	63
	"Alaska"	"02"	"2019"	"2019"	"November"	"11"	"4500 - 4999 grams"	"10"	12
	"Alaska"	"02"	"2019"	"2019"	"December"	"12"	"1500 - 1999 grams"	"04"	16
	"Alaska"	"02"	"2019"	"2019"	"December"	"12"	"2000 - 2499 grams"	"05"	40
	"Alaska"	"02"	"2019"	"2019"	"December"	"12"	"2500 - 2999 grams"	"06"	126
	"Alaska"	"02"	"2019"	"2019"	"December"	"12"	"3000 - 3499 grams"	"07"	264
	"Alaska"	"02"	"2019"	"2019"	"December"	"12"	"3500 - 3999 grams"	"08"	217
	"Alaska"	"02"	"2019"	"2019"	"December"	"12"	"4000 - 4499 grams"	"09"	96
	"Alaska"	"02"	"2019"	"2019"	"December"	"12"	"4500 - 4999 grams"	"10"	14
	"Arizona"	"04"	"2019"	"2019"	"January"	"1"	"500 - 999 grams"	"02"	27
	"Arizona"	"04"	"2019"	"2019"	"January"	"1"	"1000 - 1499 grams"	"03"	40
	"Arizona"	"04"	"2019"	"2019"	"January"	"1"	"1500 - 1999 grams"	"04"	94
	"Arizona"	"04"	"2019"	"2019"	"January"	"1"	"2000 - 2499 grams"	"05"	334
	"Arizona"	"04"	"2019"	"2019"	"January"	"1"	"2500 - 2999 grams"	"06"	1205
	"Arizona"	"04"	"2019"	"2019"	"January"	"1"	"3000 - 3499 grams"	"07"	2787
	"Arizona"	"04"	"2019"	"2019"	"January"	"1"	"3500 - 3999 grams"	"08"	1819
	"Arizona"	"04"	"2019"	"2019"	"January"	"1"	"4000 - 4499 grams"	"09"	446
	"Arizona"	"04"	"2019"	"2019"	"January"	"1"	"4500 - 4999 grams"	"10"	67
	"Arizona"	"04"	"2019"	"2019"	"January"	"1"	"5000 - 8165 grams"	"11"	10
	"Arizona"	"04"	"2019"	"2019"	"February"	"2"	"500 - 999 grams"	"02"	27
	"Arizona"	"04"	"2019"	"2019"	"February"	"2"	"1000 - 1499 grams"	"03"	46
	"Arizona"	"04"	"2019"	"2019"	"February"	"2"	"1500 - 1999 grams"	"04"	71
	"Arizona"	"04"	"2019"	"2019"	"February"	"2"	"2000 - 2499 grams"	"05"	291
	"Arizona"	"04"	"2019"	"2019"	"February"	"2"	"2500 - 2999 grams"	"06"	1093
	"Arizona"	"04"	"2019"	"2019"	"February"	"2"	"3000 - 3499 grams"	"07"	2407
	"Arizona"	"04"	"2019"	"2019"	"February"	"2"	"3500 - 3999 grams"	"08"	1675
	"Arizona"	"04"	"2019"	"2019"	"February"	"2"	"4000 - 4499 grams"	"09"	410
	"Arizona"	"04"	"2019"	"2019"	"February"	"2"	"4500 - 4999 grams"	"10"	50
	"Arizona"	"04"	"2019"	"2019"	"March"	"3"	"500 - 999 grams"	"02"	26
	"Arizona"	"04"	"2019"	"2019"	"March"	"3"	"1000 - 1499 grams"	"03"	26
	"Arizona"	"04"	"2019"	"2019"	"March"	"3"	"1500 - 1999 grams"	"04"	104
	"Arizona"	"04"	"2019"	"2019"	"March"	"3"	"2000 - 2499 grams"	"05"	292
	"Arizona"	"04"	"2019"	"2019"	"March"	"3"	"2500 - 2999 grams"	"06"	1215
	"Arizona"	"04"	"2019"	"2019"	"March"	"3"	"3000 - 3499 grams"	"07"	2636
	"Arizona"	"04"	"2019"	"2019"	"March"	"3"	"3500 - 3999 grams"	"08"	1842
	"Arizona"	"04"	"2019"	"2019"	"March"	"3"	"4000 - 4499 grams"	"09"	454
	"Arizona"	"04"	"2019"	"2019"	"March"	"3"	"4500 - 4999 grams"	"10"	70
	"Arizona"	"04"	"2019"	"2019"	"April"	"4"	"500 - 999 grams"	"02"	20
	"Arizona"	"04"	"2019"	"2019"	"April"	"4"	"1000 - 1499 grams"	"03"	52
	"Arizona"	"04"	"2019"	"2019"	"April"	"4"	"1500 - 1999 grams"	"04"	93
	"Arizona"	"04"	"2019"	"2019"	"April"	"4"	"2000 - 2499 grams"	"05"	281
	"Arizona"	"04"	"2019"	"2019"	"April"	"4"	"2500 - 2999 grams"	"06"	1105
	"Arizona"	"04"	"2019"	"2019"	"April"	"4"	"3000 - 3499 grams"	"07"	2388
	"Arizona"	"04"	"2019"	"2019"	"April"	"4"	"3500 - 3999 grams"	"08"	1680
	"Arizona"	"04"	"2019"	"2019"	"April"	"4"	"4000 - 4499 grams"	"09"	417
	"Arizona"	"04"	"2019"	"2019"	"April"	"4"	"4500 - 4999 grams"	"10"	60
	"Arizona"	"04"	"2019"	"2019"	"May"	"5"	"499 grams or less"	"01"	11
	"Arizona"	"04"	"2019"	"2019"	"May"	"5"	"500 - 999 grams"	"02"	24
	"Arizona"	"04"	"2019"	"2019"	"May"	"5"	"1000 - 1499 grams"	"03"	41
	"Arizona"	"04"	"2019"	"2019"	"May"	"5"	"1500 - 1999 grams"	"04"	92
	"Arizona"	"04"	"2019"	"2019"	"May"	"5"	"2000 - 2499 grams"	"05"	302
	"Arizona"	"04"	"2019"	"2019"	"May"	"5"	"2500 - 2999 grams"	"06"	1112
	"Arizona"	"04"	"2019"	"2019"	"May"	"5"	"3000 - 3499 grams"	"07"	2481
	"Arizona"	"04"	"2019"	"2019"	"May"	"5"	"3500 - 3999 grams"	"08"	1699
	"Arizona"	"04"	"2019"	"2019"	"May"	"5"	"4000 - 4499 grams"	"09"	448
	"Arizona"	"04"	"2019"	"2019"	"May"	"5"	"4500 - 4999 grams"	"10"	58
	"Arizona"	"04"	"2019"	"2019"	"June"	"6"	"500 - 999 grams"	"02"	36
	"Arizona"	"04"	"2019"	"2019"	"June"	"6"	"1000 - 1499 grams"	"03"	43
	"Arizona"	"04"	"2019"	"2019"	"June"	"6"	"1500 - 1999 grams"	"04"	95
	"Arizona"	"04"	"2019"	"2019"	"June"	"6"	"2000 - 2499 grams"	"05"	272
	"Arizona"	"04"	"2019"	"2019"	"June"	"6"	"2500 - 2999 grams"	"06"	1092
	"Arizona"	"04"	"2019"	"2019"	"June"	"6"	"3000 - 3499 grams"	"07"	2504
	"Arizona"	"04"	"2019"	"2019"	"June"	"6"	"3500 - 3999 grams"	"08"	1662
	"Arizona"	"04"	"2019"	"2019"	"June"	"6"	"4000 - 4499 grams"	"09"	395
	"Arizona"	"04"	"2019"	"2019"	"June"	"6"	"4500 - 4999 grams"	"10"	59
	"Arizona"	"04"	"2019"	"2019"	"July"	"7"	"500 - 999 grams"	"02"	21
	"Arizona"	"04"	"2019"	"2019"	"July"	"7"	"1000 - 1499 grams"	"03"	41
	"Arizona"	"04"	"2019"	"2019"	"July"	"7"	"1500 - 1999 grams"	"04"	114
	"Arizona"	"04"	"2019"	"2019"	"July"	"7"	"2000 - 2499 grams"	"05"	335
	"Arizona"	"04"	"2019"	"2019"	"July"	"7"	"2500 - 2999 grams"	"06"	1252
	"Arizona"	"04"	"2019"	"2019"	"July"	"7"	"3000 - 3499 grams"	"07"	2806
	"Arizona"	"04"	"2019"	"2019"	"July"	"7"	"3500 - 3999 grams"	"08"	1851
	"Arizona"	"04"	"2019"	"2019"	"July"	"7"	"4000 - 4499 grams"	"09"	469
	"Arizona"	"04"	"2019"	"2019"	"July"	"7"	"4500 - 4999 grams"	"10"	58
	"Arizona"	"04"	"2019"	"2019"	"August"	"8"	"500 - 999 grams"	"02"	37
	"Arizona"	"04"	"2019"	"2019"	"August"	"8"	"1000 - 1499 grams"	"03"	52
	"Arizona"	"04"	"2019"	"2019"	"August"	"8"	"1500 - 1999 grams"	"04"	95
	"Arizona"	"04"	"2019"	"2019"	"August"	"8"	"2000 - 2499 grams"	"05"	347
	"Arizona"	"04"	"2019"	"2019"	"August"	"8"	"2500 - 2999 grams"	"06"	1396
	"Arizona"	"04"	"2019"	"2019"	"August"	"8"	"3000 - 3499 grams"	"07"	2751
	"Arizona"	"04"	"2019"	"2019"	"August"	"8"	"3500 - 3999 grams"	"08"	1991
	"Arizona"	"04"	"2019"	"2019"	"August"	"8"	"4000 - 4499 grams"	"09"	443
	"Arizona"	"04"	"2019"	"2019"	"August"	"8"	"4500 - 4999 grams"	"10"	72
	"Arizona"	"04"	"2019"	"2019"	"September"	"9"	"500 - 999 grams"	"02"	30
	"Arizona"	"04"	"2019"	"2019"	"September"	"9"	"1000 - 1499 grams"	"03"	32
